https://acd-ext.gsfc.nasa.gov/Data_services/met/ann_data.html accessed on May 19 2023

              MERRA2    MERRA2    MERRA2    MERRA2    MERRA2    MERRA2    MERRA2    MERRA2    MERRA2    MERRA2    MERRA2    MERRA2    MERRA2    MERRA2    MERRA2    MERRA2    MERRA2    MERRA2    MERRA2    MERRA2    MERRA2    MERRA2    MERRA2    MERRA2
                   T         T         T         T         T         T         T         T         T         T         T         T         T         T         T         T         T         T         U         U         U         U         U         U
                90 N      90 N      90 N      90 N      90 N      90 N      80 N      80 N      80 N      80 N      80 N      80 N      50 N      50 N      50 N      50 N      50 N      50 N      60 N      60 N      60 N      60 N      60 N      60 N
             150 hPa   100 hPa    70 hPa    50 hPa    30 hPa    10 hPa   150 hPa   100 hPa    70 hPa    50 hPa    30 hPa    10 hPa   150 hPa   100 hPa    70 hPa    50 hPa    30 hPa    10 hPa   150 hPa   100 hPa    70 hPa    50 hPa    30 hPa    10 hPa
      Date       (K)       (K)       (K)       (K)       (K)       (K)       (K)       (K)       (K)       (K)       (K)       (K)       (K)       (K)       (K)       (K)       (K)       (K)     (m/s)     (m/s)     (m/s)     (m/s)     (m/s)     (m/s)
---------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- ---------
1979-01-01    205.20    202.67    198.31    194.20    189.48    195.65    209.03    204.68    200.39    196.81    192.16    199.08    217.50    216.52    215.35    214.56    214.21    220.51     16.32     19.09     22.69     27.81     35.88     50.59
1979-01-02    210.25    203.80    198.32    194.13    190.95    198.71    208.32    204.38    199.72    195.97    192.30    200.48    217.28    216.53    214.95    214.38    214.18    219.92     16.47     19.15     22.76     27.85     35.71     50.38
1979-01-03    205.70    203.15    196.88    193.59    190.51    198.84    209.31    204.72    199.90    196.50    192.54    200.32    217.10    216.30    215.33    215.18    215.49    219.76     15.88     17.87     21.77     26.31     34.60     50.69
1979-01-04    208.42    203.94    198.16    194.59    191.38    196.26    211.05    205.57    200.87    197.63    193.76    199.59    217.32    216.55    216.06    216.19    216.27    220.01     12.75     15.35     19.12     23.92     33.54     51.73
1979-01-05    211.55    206.48    201.27    196.35    191.72    195.86    211.18    206.94    202.58    198.49    193.88    197.57    216.90    216.15    215.77    216.48    217.04    220.47     13.59     14.60     18.29     23.05     32.94     49.72
1979-01-06    212.67    206.52    201.56    196.16    191.97    193.72    211.10    206.65    201.79    198.00    193.71    196.84    216.70    215.80    215.80    216.73    217.57    221.01     15.39     17.06     20.17     25.32     35.49     53.15
1979-01-07    208.77    203.48    198.15    194.71    190.70    193.99    209.83    204.68    199.86    196.15    192.32    197.50    217.70    216.83    216.41    217.20    218.08    219.61     15.33     18.22     22.41     28.06     38.78     57.06
1979-01-08    206.41    200.86    196.65    193.15    190.86    198.02    207.17    202.23    197.78    194.73    191.44    199.63    217.94    217.31    217.30    217.84    217.93    218.40     14.18     19.31     24.51     31.32     41.52     57.32
1979-01-09    202.84    198.25    194.24    192.27    190.44    199.01    205.52    200.72    196.86    194.33    191.88    202.18    218.28    217.59    217.59    217.69    216.87    218.73     14.67     19.26     24.71     31.46     41.24     53.45
1979-01-10    202.86    198.70    194.97    192.51    190.99    198.24    205.16    200.70    196.94    194.65    192.31    201.62    219.53    218.70    218.00    217.72    216.79    218.03     13.61     19.27     25.07     31.03     40.22     53.31
1979-01-11    205.98    200.26    196.45    194.44    190.74    200.65    205.05    200.88    196.99    194.68    192.41    204.26    220.15    218.81    217.87    217.57    217.28    218.09     10.82     17.16     23.14     29.51     38.65     51.50
1979-01-12    206.29    201.15    196.60    193.44    190.27    201.48    206.54    201.67    197.84    195.31    192.16    204.51    220.02    219.10    218.23    217.97    218.19    218.66      9.95     14.66     21.00     27.78     38.18     52.51
1979-01-13    205.73    201.13    197.06    194.38    190.38    196.49    207.68    202.57    198.52    195.61    192.04    199.66    218.77    218.33    217.81    217.72    217.99    221.67      9.30     13.24     18.99     25.11     34.79     54.40
1979-01-14    207.79    202.38    198.30    194.67    190.08    196.81    208.74    203.49    198.98    195.44    191.18    198.35    217.50    217.63    216.98    217.17    218.28    222.97     12.50     15.15     19.30     24.72     35.03     57.70
1979-01-15    208.84    202.12    197.73    194.94    190.24    200.11    207.73    203.04    198.64    195.55    191.50    200.49    218.39    217.99    217.72    217.69    218.02    222.72     10.25     14.38     19.70     25.70     35.53     56.48
1979-01-16    207.75    201.33    196.28    194.01    190.27    199.00    206.14    201.88    197.99    195.69    192.70    200.61    218.84    218.29    218.03    217.89    218.02    222.41     11.59     14.76     19.87     25.22     34.32     53.28
1979-01-17    208.06    201.95    196.82    194.03    191.63    203.77    207.16    202.24    198.08    195.63    193.69    204.78    219.20    218.47    218.09    217.94    218.36    220.33     11.32     16.39     21.78     27.14     35.43     50.79
1979-01-18    209.83    204.73    200.53    196.88    193.76    205.81    210.04    205.33    200.98    198.25    195.70    206.11    219.04    218.43    218.27    218.18    218.23    220.31      7.45     12.06     17.51     22.35     31.22     46.66
