              MERRA2    MERRA2    MERRA2    MERRA2    MERRA2    MERRA2    MERRA2    MERRA2    MERRA2    MERRA2    MERRA2    MERRA2    MERRA2    MERRA2    MERRA2    MERRA2    MERRA2    MERRA2    MERRA2    MERRA2    MERRA2    MERRA2    MERRA2    MERRA2
                   T         T         T         T         T         T         T         T         T         T         T         T         T         T         T         T         T         T         U         U         U         U         U         U
                90 S      90 S      90 S      90 S      90 S      90 S      80 S      80 S      80 S      80 S      80 S      80 S      50 S      50 S      50 S      50 S      50 S      50 S      60 S      60 S      60 S      60 S      60 S      60 S
             150 hPa   100 hPa    70 hPa    50 hPa    30 hPa    10 hPa   150 hPa   100 hPa    70 hPa    50 hPa    30 hPa    10 hPa   150 hPa   100 hPa    70 hPa    50 hPa    30 hPa    10 hPa   150 hPa   100 hPa    70 hPa    50 hPa    30 hPa    10 hPa
      Date       (K)       (K)       (K)       (K)       (K)       (K)       (K)       (K)       (K)       (K)       (K)       (K)       (K)       (K)       (K)       (K)       (K)       (K)     (m/s)     (m/s)     (m/s)     (m/s)     (m/s)     (m/s)
---------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- ---------
1979-01-01    230.53    232.06    233.55    236.07    236.71    248.06    230.00    231.32    233.26    235.56    236.65    246.66    222.40    221.06    221.87    223.92    227.52    240.08      8.18      4.51      1.42     -2.05     -6.99    -14.16
1979-01-02    230.88    232.07    233.47    236.03    237.77    248.31    230.18    231.40    233.52    235.93    236.87    246.70    221.95    220.54    221.53    223.50    227.21    239.96     10.07      5.96      2.18     -1.04     -6.01    -13.83
1979-01-03    231.99    232.70    234.04    236.17    237.18    248.05    230.03    231.53    233.72    235.95    236.73    246.68    221.45    219.83    221.12    223.30    226.91    239.76     11.64      8.13      3.60     -0.11     -5.39    -13.21
1979-01-04    231.97    233.21    233.77    235.88    236.42    249.48    230.41    231.58    233.66    235.78    236.61    247.06    221.95    220.34    221.06    223.21    226.90    239.99      9.95      7.07      3.99      0.48     -4.80    -13.02
1979-01-05    231.63    233.67    233.51    236.00    236.15    250.11    230.63    231.54    233.61    235.70    236.36    247.07    222.24    220.50    221.47    223.44    227.04    239.89      9.55      6.08      3.12     -0.37     -4.90    -13.65
1979-01-06    231.54    233.42    234.08    235.76    235.58    250.11    230.90    231.92    233.69    235.73    236.40    246.78    221.28    219.83    221.07    223.03    226.76    240.13     12.09      7.60      3.68     -0.37     -5.54    -13.27
1979-01-07    231.15    233.95    234.77    236.03    235.71    250.36    230.89    232.05    233.85    235.79    236.25    246.47    221.61    220.14    221.02    222.93    226.76    239.97     12.27      7.68      3.86      0.30     -4.71    -12.27
1979-01-08    231.09    233.69    234.52    236.27    235.89    249.15    230.98    231.79    233.65    235.90    236.53    246.35    222.46    220.86    221.48    223.14    226.77    239.51     11.30      7.64      3.69      0.24     -4.52    -12.24
1979-01-09    232.27    233.81    234.58    236.07    235.22    249.91    231.25    231.75    233.49    235.61    236.12    246.33    222.09    221.03    221.71    223.53    227.36    239.63      9.77      7.01      3.55      0.07     -4.49    -11.51
1979-01-10    233.07    234.17    234.39    235.94    234.90    251.53    231.52    231.81    233.40    235.36    235.82    247.45    222.09    221.14    221.91    223.89    227.50    239.65      8.93      5.85      3.20      0.22     -3.98    -10.92
1979-01-11    233.22    233.75    234.27    235.56    234.95    249.44    231.63    231.88    233.39    235.35    235.65    246.65    222.21    221.32    221.72    223.66    227.31    239.82      7.83      4.78      2.39     -0.38     -4.33    -12.10
1979-01-12    233.01    233.49    234.18    235.49    234.74    249.04    231.68    232.18    233.62    235.35    235.42    245.90    222.41    220.92    221.60    223.62    227.31    239.69      7.84      5.36      2.43     -0.35     -4.67    -12.17
1979-01-13    232.88    233.78    234.73    235.95    234.97    248.64    231.79    232.54    233.99    235.54    235.71    245.79    222.61    220.98    221.82    223.86    227.15    239.46      8.57      5.80      2.67     -0.50     -4.73    -12.29
1979-01-14    233.26    233.96    235.13    236.26    234.38    247.96    231.98    232.72    233.99    235.39    235.41    246.03    222.89    221.03    221.70    223.83    227.17    239.68      8.78      6.49      2.48     -1.01     -5.18    -12.62
1979-01-15    233.43    233.99    234.76    235.83    234.53    248.22    232.03    232.63    233.92    235.43    235.66    246.07    222.82    221.16    221.89    224.04    227.49    239.57      9.54      7.16      3.37     -0.14     -4.73    -12.35
1979-01-16    233.26    233.74    234.50    235.92    234.98    250.69    232.07    232.64    233.83    235.33    235.95    247.34    222.74    220.91    221.83    224.07    227.82    240.02      9.84      7.37      3.71      0.36     -3.58    -10.54
1979-01-17    233.18    233.79    234.67    236.13    235.09    250.31    232.18    233.01    234.26    235.66    235.97    246.58    222.40    220.96    221.64    223.78    227.45    239.47     10.68      7.73      4.23      0.97     -3.53    -10.59
1979-01-18    233.73    234.25    234.96    236.37    234.92    249.23    232.31    233.09    234.26    235.71    236.07    246.07    222.04    220.47    221.56    223.74    227.55    239.32     12.04      8.22      4.57      1.39     -2.94    -10.23
